State,City,ZIP code,Total College-Educated Millennials,Millennial Percentage,,,,,,,,,,,,,
OH,Columbus,43215,"3,282",29%,,,,,,,,,,,,,
MD,Baltimore,21201,"3,260",25%,,,,,,,,,,,,,
TX,Austin,78751,"3,255",25%,,,,,,,,,,,,,
GA,Atlanta,30307,"3,220",23%,,,,,,,,,,,,,
NJ,Plainsboro,08536,"3,211",21%,,,,,,,,,,,,,
TX,Dallas,75201,"3,206",36%,,,,,,,,,,,,,
MO,Kansas City,64111,"3,153",22%,,,,,,,,,,,,,
MD,Baltimore,21211,"3,130",21%,,,,,,,,,,,,,
CA,Toluca Lake,91602,"3,094",21%,,,,,,,,,,,,,
PA,Philadelphia,19106,"3,077",30%,,,,,,,,,,,,,
CA,Playa Del Rey,90293,"3,041",27%,,,,,,,,,,,,,
IN,Indianapolis,46250,"3,041",20%,,,,,,,,,,,,,
TX,Houston,77027,"3,027",23%,,,,,,,,,,,,,
IA,North Liberty,52317,"2,986",27%,,,,,,,,,,,,,
TX,Houston,77098,"2,976",27%,,,,,,,,,,,,,
CA,Irvine,92618,"2,954",22%,,,,,,,,,,,,,
CO,Denver,80202,"2,909",29%,,,,,,,,,,,,,
IL,Chicago,60601,"2,862",30%,,,,,,,,,,,,,
WA,Seattle,98121,"2,851",25%,,,,,,,,,,,,,
TN,Memphis,38103,"2,831",25%,,,,,,,,,,,,,
DC,Washington,20037,"2,829",20%,,,,,,,,,,,,,
OH,Cincinnati,45209,"2,801",31%,,,,,,,,,,,,,
VA,Richmond,23221,"2,801",23%,,,,,,,,,,,,,
OR,Portland,97239,"2,801",21%,,,,,,,,,,,,,
NC,Raleigh,27617,"2,755",25%,,,,,,,,,,,,,
NC,Charlotte,28203,"2,736",28%,,,,,,,,,,,,,
MN,Woodbury,55129,"2,710",21%,,,,,,,,,,,,,
NC,Charlotte,28202,"2,704",31%,,,,,,,,,,,,,
IL,Schaumburg,60173,"2,694",27%,,,,,,,,,,,,,
NY,New York,10005,"2,679",50%,,,,,,,,,,,,,
CA,Berkeley,94709,"2,662",23%,,,,,,,,,,,,,
IA,Waukee,50263,"2,645",23%,,,,,,,,,,,,,
LA,New Orleans,70130,"2,593",23%,,,,,,,,,,,,,
FL,Saint Petersburg,33716,"2,552",20%,,,,,,,,,,,,,
MN,Minneapolis,55401,"2,547",37%,,,,,,,,,,,,,
MA,Boston,02113,"2,497",35%,,,,,,,,,,,,,
TX,Addison,75001,"2,456",23%,,,,,,,,,,,,,
DC,Washington,20036,"2,398",44%,,,,,,,,,,,,,
MN,Eden Prairie,55344,"2,367",20%,,,,,,,,,,,,,
FL,Miami,33129,"2,363",21%,,,,,,,,,,,,,
OR,Portland,97210,"2,283",24%,,,,,,,,,,,,,
WA,Seattle,98101,"2,266",23%,,,,,,,,,,,,,
TX,Houston,77030,"2,196",24%,,,,,,,,,,,,,
PA,Philadelphia,19123,"2,189",21%,,,,,,,,,,,,,
FL,Miami,33132,"2,183",28%,,,,,,,,,,,,,
VA,Alexandria,22303,"2,179",20%,,,,,,,,,,,,,
FL,Tampa,33602,"2,178",21%,,,,,,,,,,,,,
WI,Madison,53718,"2,144",22%,,,,,,,,,,,,,
CA,San Francisco,94105,"2,088",44%,,,,,,,,,,,,,
NJ,Edgewater,07020,"2,048",22%,,,,,,,,,,,,,
NE,Omaha,68136,"1,961",21%,,,,,,,,,,,,,
UT,Saratoga Springs,84045,"1,954",22%,,,,,,,,,,,,,
FL,Orlando,32801,"1,921",20%,,,,,,,,,,,,,
PA,Pittsburgh,15203,"1,876",20%,,,,,,,,,,,,,
NY,New York,10018,"1,872",33%,,,,,,,,,,,,,
CA,Santa Monica,90401,"1,850",29%,,,,,,,,,,,,,
CO,Denver,80238,"1,828",27%,,,,,,,,,,,,,
MO,Kansas City,64112,"1,699",23%,,,,,,,,,,,,,
NJ,Franklin Park,08823,"1,692",25%,,,,,,,,,,,,,
CA,San Francisco,94158,"1,690",41%,,,,,,,,,,,,,
CA,Playa Vista,90094,"1,677",36%,,,,,,,,,,,,,
CT,Stamford,06901,"1,672",27%,,,,,,,,,,,,,
MO,Saint Louis,63117,"1,672",22%,,,,,,,,,,,,,
TX,Austin,78701,"1,661",30%,,,,,,,,,,,,,
NY,Long Island City,11109,"1,657",57%,,,,,,,,,,,,,
CO,Avon,81620,"1,643",20%,,,,,,,,,,,,,
VA,Aldie,20105,"1,620",21%,,,,,,,,,,,,,
NY,New York,10007,"1,559",31%,,,,,,,,,,,,,
TX,Austin,78756,"1,504",22%,,,,,,,,,,,,,
CO,Breckenridge,80424,"1,498",20%,,,,,,,,,,,,,
AR,Centerton,72719,"1,488",25%,,,,,,,,,,,,,
PA,Philadelphia,19127,"1,482",31%,,,,,,,,,,,,,
VA,Norfolk,23507,"1,450",22%,,,,,,,,,,,,,
VA,Sterling,20166,"1,448",21%,,,,,,,,,,,,,
NY,New York,10280,"1,446",23%,,,,,,,,,,,,,
MN,Albertville,55301,"1,428",21%,,,,,,,,,,,,,
GA,Atlanta,30346,"1,424",36%,,,,,,,,,,,,,
PA,Philadelphia,19102,"1,413",41%,,,,,,,,,,,,,
TX,Austin,78722,"1,397",27%,,,,,,,,,,,,,
CA,Sacramento,95811,"1,362",21%,,,,,,,,,,,,,
NY,New York,10069,"1,297",30%,,,,,,,,,,,,,
IL,Hoffman Estates,60195,"1,275",35%,,,,,,,,,,,,,
MA,Boston,02109,"1,272",33%,,,,,,,,,,,,,
NC,Charlotte,28204,"1,244",28%,,,,,,,,,,,,,
MN,Saint Paul,55101,"1,222",23%,,,,,,,,,,,,,
NY,New York,10282,"1,216",32%,,,,,,,,,,,,,
GA,Atlanta,30326,"1,167",28%,,,,,,,,,,,,,
CA,Rancho Cordova,95742,"1,162",20%,,,,,,,,,,,,,
MO,Kansas City,64105,"1,148",33%,,,,,,,,,,,,,
CO,Vail,81657,"1,121",21%,,,,,,,,,,,,,
NC,Raleigh,27605,"1,107",27%,,,,,,,,,,,,,
NY,New York,10006,"1,100",44%,,,,,,,,,,,,,
IL,Chicago,60606,"1,068",48%,,,,,,,,,,,,,
TX,Dallas,75251,"1,067",41%,,,,,,,,,,,,,
OH,Cincinnati,45226,"1,062",23%,,,,,,,,,,,,,
MA,Boston,02108,"1,041",29%,,,,,,,,,,,,,
OK,Oklahoma City,73134,"1,032",30%,,,,,,,,,,,,,
NE,Bennington,68007,"1,025",21%,,,,,,,,,,,,,
OR,Portland,97227,"1,009",29%,,,,,,,,,,,,,
CA,San Francisco,94129,"1,003",46%,,,,,,,,,,,,,
IA,Des Moines,50309,970,21%,,,,,,,,,,,,,
OH,Cleveland,44114,965,23%,,,,,,,,,,,,,
MA,Cambridge,02142,963,38%,,,,,,,,,,,,,
NY,Guilderland,12084,959,25%,,,,,,,,,,,,,
CA,Palo Alto,94304,876,27%,,,,,,,,,,,,,
FL,Orlando,32814,875,22%,,,,,,,,,,,,,
CA,San Diego,92121,840,23%,,,,,,,,,,,,,
CT,New Haven,06510,826,35%,,,,,,,,,,,,,
MA,Boston,02163,803,46%,,,,,,,,,,,,,
WY,Wilson,83014,798,24%,,,,,,,,,,,,,
VA,Norfolk,23517,777,21%,,,,,,,,,,,,,
GA,Atlanta,30363,757,32%,,,,,,,,,,,,,
CA,Newport Beach,92661,744,21%,,,,,,,,,,,,,
MO,East Kansas City,64156,722,21%,,,,,,,,,,,,,
NY,New York,10004,721,31%,,,,,,,,,,,,,
MN,Saint Paul,55114,697,26%,,,,,,,,,,,,,
TX,Dallas,75202,658,34%,,,,,,,,,,,,,
KS,Fort Leavenworth,66027,639,21%,,,,,,,,,,,,,
MO,Saint Louis,63101,631,38%,,,,,,,,,,,,,
MA,Boston,02210,620,35%,,,,,,,,,,,,,
DC,Washington,20004,583,38%,,,,,,,,,,,,,
CO,Colorado Springs,80951,573,21%,,,,,,,,,,,,,
CO,Frisco,80443,570,20%,,,,,,,,,,,,,
TX,Fort Worth,76155,567,20%,,,,,,,,,,,,,
CT,Hartford,06103,538,41%,,,,,,,,,,,,,
OH,Columbus,43240,511,22%,,,,,,,,,,,,,
MI,Lansing,48933,504,22%,,,,,,,,,,,,,
IL,Oak Park,60301,414,21%,,,,,,,,,,,,,
MA,Boston,02199,407,33%,,,,,,,,,,,,,
OH,Amlin,43002,376,21%,,,,,,,,,,,,,
TN,Nashville,37219,370,35%,,,,,,,,,,,,,
TX,El Paso,79911,355,24%,,,,,,,,,,,,,
TN,Knoxville,37902,353,22%,,,,,,,,,,,,,
TX,Houston,77046,342,32%,,,,,,,,,,,,,
IL,Chicago,60602,334,29%,,,,,,,,,,,,,
NV,Las Vegas,89179,327,20%,,,,,,,,,,,,,
IA,Tiffin,52340,321,22%,,,,,,,,,,,,,
KS,Wichita,67202,271,22%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Note: For this report, we looked at Census data from the American Community Survey in 2012 to identify the largest college-educated millennial ZIP codes. To analyze the attributes of these ZIP codes we used 5-year aggregates of the 2012 survey. ",,,,,,,,,,,,,,,,,
